leaf,gSum_f32,gSum_f64,gSum_residual,hSum_f32,hSum_f64,hSum_residual,leafVal_f32,leafVal_f64,leafVal_residual
0,10.9111166,10.9111169576645,3.576279e-07,10,10,0.000000e+00,-0.02517949976,-0.0251795001087277,3.484576e-10
1,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
2,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
3,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
4,5.551403999,5.55140373110771,2.682209e-07,10,10,0.000000e+00,-0.01281093154,-0.012810931400825,1.402006e-10
5,3.520538568,3.52053859084845,2.235174e-08,12,12,0.000000e+00,-0.00704107713,-0.00704107702431655,1.052263e-10
6,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
7,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
8,43.27026367,43.2702599167824,3.755093e-06,40,40,0.000000e+00,-0.0301885549,-0.0301885527555465,2.142358e-09
9,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
10,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
11,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
12,26.7088089,26.7088135182858,4.619360e-06,46,46,0.000000e+00,-0.01635233127,-0.0163523344416106,3.175803e-09
13,6.96487093,6.96486994251609,9.872019e-07,24,24,0.000000e+00,-0.00773874484,-0.00773874420759901,6.324269e-10
14,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
15,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
16,14.7065382,14.7065378427505,3.576279e-07,18,18,0.000000e+00,-0.02100934088,-0.0210093393057626,1.576539e-09
17,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
18,7.972387314,7.97238865494728,1.341105e-06,23,23,0.000000e+00,-0.009198908694,-0.00919890978086597,1.086778e-09
19,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
20,3.867701054,3.86770124733448,1.937151e-07,14,14,0.000000e+00,-0.006825354416,-0.00682535498979639,5.738730e-10
21,-1.079865694,-1.07986580301076,1.089647e-07,18,18,0.000000e+00,0.001542665181,0.00154266539839126,2.176411e-10
22,-3.664874315,-3.66487451083958,1.955777e-07,37,37,0.000000e+00,0.002748655854,0.00274865582169244,3.210059e-11
23,-12.57453346,-12.5745326280594,8.344650e-07,28,28,0.000000e+00,0.0121689029,0.0121689022712871,6.325081e-10
24,47.21907806,47.219083070755,5.006790e-06,60,60,0.000000e+00,-0.02248527482,-0.0224852771501554,2.328636e-09
25,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
26,33.66648483,33.6664802618325,4.570931e-06,83,83,0.000000e+00,-0.01174412295,-0.0117441207590679,2.193155e-09
27,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
28,23.57070541,23.5707040466368,1.367182e-06,87,87,0.000000e+00,-0.007856901735,-0.00785690117326351,5.618039e-10
29,-6.010732651,-6.01073180977255,8.409843e-07,50,50,0.000000e+00,0.003402301343,0.0034023009483522,3.948057e-10
30,-11.86665821,-11.8666576435789,5.671754e-07,118,118,0.000000e+00,0.002942146501,0.00294214645743929,4.313327e-11
31,-41.67284012,-41.6728343646973,5.753711e-06,95,95,0.000000e+00,0.01275699213,0.0127569898265011,2.304971e-09
32,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
33,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
34,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
35,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
36,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
37,-3.778503656,-3.77850361913443,3.725290e-08,10,10,0.000000e+00,0.008719623089,0.00871962354156528,4.527286e-10
38,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
39,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
