leaf,gSum_f32,gSum_f64,gSum_residual,hSum_f32,hSum_f64,hSum_residual,leafVal_f32,leafVal_f64,leafVal_residual
0,10.91111755,10.9111169576645,5.960464e-07,10,10,0.000000e+00,-0.02517950162,-0.0251795001087277,1.514188e-09
1,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
2,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
3,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
4,5.551403522,5.55140373110771,2.086163e-07,10,10,0.000000e+00,-0.01281093061,-0.012810931400825,7.911219e-10
5,3.520538568,3.52053859084845,2.235174e-08,12,12,0.000000e+00,-0.00704107713,-0.00704107702431655,1.052263e-10
6,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
7,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
8,43.27026749,43.2702599167824,7.569790e-06,40,40,0.000000e+00,-0.03018855862,-0.0301885527555465,5.867648e-09
9,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
10,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
11,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
12,26.70881081,26.7088135182858,2.712011e-06,46,46,0.000000e+00,-0.01635233313,-0.0163523344416106,1.313158e-09
13,6.964869976,6.96486994251609,3.352761e-08,24,24,0.000000e+00,-0.007738744374,-0.00773874420759901,1.667656e-10
14,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
15,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
16,14.70653629,14.7065378427505,1.549721e-06,18,18,0.000000e+00,-0.02100933716,-0.0210093393057626,2.148752e-09
17,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
18,7.972388744,7.97238865494728,8.940697e-08,23,23,0.000000e+00,-0.009198909625,-0.00919890978086597,1.554549e-10
19,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
20,3.867701292,3.86770124733448,4.470348e-08,14,14,0.000000e+00,-0.006825354882,-0.00682535498979639,1.082117e-10
21,-1.079865813,-1.07986580301076,1.024455e-08,18,18,0.000000e+00,0.001542665414,0.00154266539839126,1.518958e-11
22,-3.664874792,-3.66487451083958,2.812594e-07,37,37,0.000000e+00,0.002748656087,0.00274865582169244,2.649312e-10
23,-12.57453442,-12.5745326280594,1.788139e-06,28,28,0.000000e+00,0.01216890384,0.0121689022712871,1.563831e-09
