leaf,gSum_f32,gSum_f64,gSum_residual,hSum_f32,hSum_f64,hSum_residual,leafVal_f32,leafVal_f64,leafVal_residual
0,10.91111565,10.9111169576645,1.311302e-06,10,10,0.000000e+00,-0.0251794979,-0.0251795001087277,2.211103e-09
1,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
2,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
3,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
4,5.551403522,5.55140373110771,2.086163e-07,10,10,0.000000e+00,-0.01281093061,-0.012810931400825,7.911219e-10
5,3.520538568,3.52053859084845,2.235174e-08,12,12,0.000000e+00,-0.00704107713,-0.00704107702431655,1.052263e-10
6,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
7,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
8,43.27025223,43.2702599167824,7.688999e-06,40,40,0.000000e+00,-0.03018854745,-0.0301885527555465,5.308223e-09
9,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
10,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
11,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
12,26.7088089,26.7088135182858,4.619360e-06,46,46,0.000000e+00,-0.01635233127,-0.0163523344416106,3.175803e-09
13,6.964869976,6.96486994251609,3.352761e-08,24,24,0.000000e+00,-0.007738744374,-0.00773874420759901,1.667656e-10
14,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
15,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
16,14.70653725,14.7065378427505,5.960464e-07,18,18,0.000000e+00,-0.02100933902,-0.0210093393057626,2.861064e-10
17,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
18,7.972388268,7.97238865494728,3.874302e-07,23,23,0.000000e+00,-0.009198909625,-0.00919890978086597,1.554549e-10
19,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
20,3.867701292,3.86770124733448,4.470348e-08,14,14,0.000000e+00,-0.006825354882,-0.00682535498979639,1.082117e-10
21,-1.079865694,-1.07986580301076,1.089647e-07,18,18,0.000000e+00,0.001542665181,0.00154266539839126,2.176411e-10
22,-3.664874077,-3.66487451083958,4.339963e-07,37,37,0.000000e+00,0.002748655621,0.00274865582169244,2.007301e-10
23,-12.57453346,-12.5745326280594,8.344650e-07,28,28,0.000000e+00,0.0121689029,0.0121689022712871,6.325081e-10
24,47.21908569,47.219083070755,2.622604e-06,60,60,0.000000e+00,-0.02248527855,-0.0224852771501554,1.396655e-09
25,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
26,33.6664772,33.6664802618325,3.058463e-06,83,83,0.000000e+00,-0.01174412016,-0.0117441207590679,6.008128e-10
27,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
28,23.57070541,23.5707040466368,1.367182e-06,87,87,0.000000e+00,-0.007856901735,-0.00785690117326351,5.618039e-10
29,-6.010730743,-6.01073180977255,1.066364e-06,50,50,0.000000e+00,0.003402300179,0.0034023009483522,7.693475e-10
30,-11.8666563,-11.8666576435789,1.340173e-06,118,118,0.000000e+00,0.002942146035,0.00294214645743929,4.225280e-10
31,-41.6728363,-41.6728343646973,1.939014e-06,95,95,0.000000e+00,0.0127569912,0.0127569898265011,1.373648e-09
32,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
33,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
34,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
35,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
36,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
37,-3.778503418,-3.77850361913443,2.011657e-07,10,10,0.000000e+00,0.008719623089,0.00871962354156528,4.527286e-10
38,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
39,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
40,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
41,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
42,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
43,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
44,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
45,-6.327449322,-6.32744970731437,3.855675e-07,35,35,0.000000e+00,0.004995354451,0.00499535492043541,4.691963e-10
46,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
47,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
48,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
49,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
50,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
51,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
52,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
53,-9.47792244,-9.47792312316597,6.835908e-07,18,18,0.000000e+00,0.0135398889,0.0135398898733112,9.772632e-10
54,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
55,-24.81664848,-24.8166523873806,3.904104e-06,28,28,0.000000e+00,0.02401611023,0.0240161146767921,4.450280e-09
56,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
57,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
58,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
59,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
60,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
61,-31.01165581,-31.0116516649723,4.142523e-06,55,55,0.000000e+00,0.01604051143,0.0160405091233489,2.305961e-09
62,0,0,0.000000e+00,0,0,0.000000e+00,-0,-0,0.000000e+00
63,-75.64822388,-75.648227751255,3.874302e-06,81,81,0.000000e+00,0.02701722272,0.0270172235929948,8.755904e-10
