tree,level,leaf,left_count,right_count
0,0,0,992067,7933
0,1,0,984206,7861
0,1,1,0,7933
0,2,0,976341,7865
0,2,1,0,0
0,2,2,0,7861
0,2,3,0,7933
0,3,0,968499,7842
0,3,1,0,0
0,3,2,0,0
0,3,3,0,0
0,3,4,0,7865
0,3,5,0,0
0,3,6,0,7861
0,3,7,0,7933
0,4,0,960658,7841
0,4,1,0,0
0,4,2,0,0
0,4,3,0,0
0,4,4,0,0
0,4,5,0,0
0,4,6,0,0
0,4,7,0,0
0,4,8,0,7842
0,4,9,0,0
0,4,10,0,0
0,4,11,0,0
0,4,12,0,7865
0,4,13,0,0
0,4,14,0,7861
0,4,15,0,7933
0,5,0,952947,7711
0,5,1,0,0
0,5,2,0,0
0,5,3,0,0
0,5,4,0,0
0,5,5,0,0
0,5,6,0,0
0,5,7,0,0
0,5,8,0,0
0,5,9,0,0
0,5,10,0,0
0,5,11,0,0
0,5,12,0,0
0,5,13,0,0
0,5,14,0,0
0,5,15,0,0
0,5,16,0,7841
0,5,17,0,0
0,5,18,0,0
0,5,19,0,0
0,5,20,0,0
0,5,21,0,0
0,5,22,0,0
0,5,23,0,0
0,5,24,0,7842
0,5,25,0,0
0,5,26,0,0
0,5,27,0,0
0,5,28,0,7865
0,5,29,0,0
0,5,30,0,7861
0,5,31,0,7933
1,0,0,992067,7933
1,1,0,984206,7861
1,1,1,0,7933
1,2,0,976341,7865
1,2,1,0,0
1,2,2,0,7861
1,2,3,0,7933
1,3,0,968499,7842
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,7865
1,3,5,0,0
1,3,6,0,7861
1,3,7,0,7933
1,4,0,960658,7841
1,4,1,0,0
1,4,2,0,0
1,4,3,0,0
1,4,4,0,0
1,4,5,0,0
1,4,6,0,0
1,4,7,0,0
1,4,8,0,7842
1,4,9,0,0
1,4,10,0,0
1,4,11,0,0
1,4,12,0,7865
1,4,13,0,0
1,4,14,0,7861
1,4,15,0,7933
1,5,0,952947,7711
1,5,1,0,0
1,5,2,0,0
1,5,3,0,0
1,5,4,0,0
1,5,5,0,0
1,5,6,0,0
1,5,7,0,0
1,5,8,0,0
1,5,9,0,0
1,5,10,0,0
1,5,11,0,0
1,5,12,0,0
1,5,13,0,0
1,5,14,0,0
1,5,15,0,0
1,5,16,0,7841
1,5,17,0,0
1,5,18,0,0
1,5,19,0,0
1,5,20,0,0
1,5,21,0,0
1,5,22,0,0
1,5,23,0,0
1,5,24,0,7842
1,5,25,0,0
1,5,26,0,0
1,5,27,0,0
1,5,28,0,7865
1,5,29,0,0
1,5,30,0,7861
1,5,31,0,7933
2,0,0,992067,7933
2,1,0,984206,7861
2,1,1,0,7933
2,2,0,976341,7865
2,2,1,0,0
2,2,2,0,7861
2,2,3,0,7933
2,3,0,968499,7842
2,3,1,0,0
2,3,2,0,0
2,3,3,0,0
2,3,4,0,7865
2,3,5,0,0
2,3,6,0,7861
2,3,7,0,7933
2,4,0,960658,7841
2,4,1,0,0
2,4,2,0,0
2,4,3,0,0
2,4,4,0,0
2,4,5,0,0
2,4,6,0,0
2,4,7,0,0
2,4,8,0,7842
2,4,9,0,0
2,4,10,0,0
2,4,11,0,0
2,4,12,0,7865
2,4,13,0,0
2,4,14,0,7861
2,4,15,0,7933
2,5,0,952947,7711
2,5,1,0,0
2,5,2,0,0
2,5,3,0,0
2,5,4,0,0
2,5,5,0,0
2,5,6,0,0
2,5,7,0,0
2,5,8,0,0
2,5,9,0,0
2,5,10,0,0
2,5,11,0,0
2,5,12,0,0
2,5,13,0,0
2,5,14,0,0
2,5,15,0,0
2,5,16,0,7841
2,5,17,0,0
2,5,18,0,0
2,5,19,0,0
2,5,20,0,0
2,5,21,0,0
2,5,22,0,0
2,5,23,0,0
2,5,24,0,7842
2,5,25,0,0
2,5,26,0,0
2,5,27,0,0
2,5,28,0,7865
2,5,29,0,0
2,5,30,0,7861
2,5,31,0,7933
3,0,0,992067,7933
3,1,0,984206,7861
3,1,1,0,7933
3,2,0,976341,7865
3,2,1,0,0
3,2,2,0,7861
3,2,3,0,7933
3,3,0,968499,7842
3,3,1,0,0
3,3,2,0,0
3,3,3,0,0
3,3,4,0,7865
3,3,5,0,0
3,3,6,0,7861
3,3,7,0,7933
3,4,0,960658,7841
3,4,1,0,0
3,4,2,0,0
3,4,3,0,0
3,4,4,0,0
3,4,5,0,0
3,4,6,0,0
3,4,7,0,0
3,4,8,0,7842
3,4,9,0,0
3,4,10,0,0
3,4,11,0,0
3,4,12,0,7865
3,4,13,0,0
3,4,14,0,7861
3,4,15,0,7933
3,5,0,952947,7711
3,5,1,0,0
3,5,2,0,0
3,5,3,0,0
3,5,4,0,0
3,5,5,0,0
3,5,6,0,0
3,5,7,0,0
3,5,8,0,0
3,5,9,0,0
3,5,10,0,0
3,5,11,0,0
3,5,12,0,0
3,5,13,0,0
3,5,14,0,0
3,5,15,0,0
3,5,16,0,7841
3,5,17,0,0
3,5,18,0,0
3,5,19,0,0
3,5,20,0,0
3,5,21,0,0
3,5,22,0,0
3,5,23,0,0
3,5,24,0,7842
3,5,25,0,0
3,5,26,0,0
3,5,27,0,0
3,5,28,0,7865
3,5,29,0,0
3,5,30,0,7861
3,5,31,0,7933
4,0,0,992067,7933
4,1,0,984206,7861
4,1,1,0,7933
4,2,0,976341,7865
4,2,1,0,0
4,2,2,0,7861
4,2,3,0,7933
4,3,0,968499,7842
4,3,1,0,0
4,3,2,0,0
4,3,3,0,0
4,3,4,0,7865
4,3,5,0,0
4,3,6,0,7861
4,3,7,0,7933
4,4,0,960658,7841
4,4,1,0,0
4,4,2,0,0
4,4,3,0,0
4,4,4,0,0
4,4,5,0,0
4,4,6,0,0
4,4,7,0,0
4,4,8,0,7842
4,4,9,0,0
4,4,10,0,0
4,4,11,0,0
4,4,12,0,7865
4,4,13,0,0
4,4,14,0,7861
4,4,15,0,7933
4,5,0,952947,7711
4,5,1,0,0
4,5,2,0,0
4,5,3,0,0
4,5,4,0,0
4,5,5,0,0
4,5,6,0,0
4,5,7,0,0
4,5,8,0,0
4,5,9,0,0
4,5,10,0,0
4,5,11,0,0
4,5,12,0,0
4,5,13,0,0
4,5,14,0,0
4,5,15,0,0
4,5,16,0,7841
4,5,17,0,0
4,5,18,0,0
4,5,19,0,0
4,5,20,0,0
4,5,21,0,0
4,5,22,0,0
4,5,23,0,0
4,5,24,0,7842
4,5,25,0,0
4,5,26,0,0
4,5,27,0,0
4,5,28,0,7865
4,5,29,0,0
4,5,30,0,7861
4,5,31,0,7933
5,0,0,992067,7933
5,1,0,984206,7861
5,1,1,0,7933
5,2,0,976341,7865
5,2,1,0,0
5,2,2,0,7861
5,2,3,0,7933
5,3,0,968499,7842
5,3,1,0,0
5,3,2,0,0
5,3,3,0,0
5,3,4,0,7865
5,3,5,0,0
5,3,6,0,7861
5,3,7,0,7933
5,4,0,960658,7841
5,4,1,0,0
5,4,2,0,0
5,4,3,0,0
5,4,4,0,0
5,4,5,0,0
5,4,6,0,0
5,4,7,0,0
5,4,8,0,7842
